Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,1.19,-0.23,0.49,0.16,-1.09,0.86,0.10,0.28,0.22,0.02,1.29,1.24
1980,0.29,0.21,1.11,0.69,1.23,0.52,0.19,0.90,1.50,0.37,1.20,0.66
1981,0.51,-0.09,-0.80,1.62,0.35,-0.20,0.53,0.65,1.45,-0.06,-1.04,0.34
1982,0.64,0.06,-0.79,-0.12,-0.22,-1.42,-0.97,1.41,-0.28,-0.73,1.17,0.80
1983,-0.04,2.01,0.48,-1.33,0.31,0.07,-0.90,0.90,1.72,0.63,0.03,0.08
1984,-1.57,-0.22,-1.30,-0.27,0.45,0.00,-0.72,0.11,-1.37,0.01,0.27,-0.01
1985,0.77,0.90,1.05,-0.03,0.36,-0.83,0.20,0.95,-0.56,-0.44,0.26,-0.12
1986,-0.06,0.61,1.75,0.57,0.86,0.43,-0.22,-0.69,0.48,-0.92,-0.09,-0.09
1987,-0.01,-0.51,-0.83,0.99,-0.15,0.92,0.22,-0.06,0.23,0.76,0.48,0.13
1988,1.15,-0.26,0.77,0.50,1.21,0.98,1.15,0.69,1.12,2.20,-0.36,-0.30
1989,-0.26,0.63,-0.18,0.32,0.89,-0.87,-0.35,-1.30,0.41,0.55,-0.35,0.24
1990,0.70,-0.67,1.14,0.06,0.97,-0.40,0.76,-0.23,-0.08,0.52,1.72,1.17
1991,0.38,0.67,0.36,0.33,0.41,1.93,0.59,0.29,0.62,1.56,0.19,-0.18
1992,-0.27,0.28,1.16,0.94,0.50,0.33,0.73,0.26,-0.09,-0.58,-1.18,-0.58
1993,0.58,-0.47,0.21,1.36,0.76,-0.05,1.12,0.68,0.10,-0.59,0.63,-0.64
1994,0.84,-0.21,-0.81,-0.15,0.37,0.08,0.43,-0.39,0.19,0.60,0.31,0.91
1995,0.27,-0.55,-0.66,-0.70,-0.27,0.47,0.60,1.14,1.34,0.04,0.58,-0.33
1996,0.16,0.35,0.23,-0.08,0.44,2.40,1.13,0.83,0.74,0.67,0.17,0.15
1997,-0.33,0.77,-0.62,0.11,0.07,0.03,-0.41,0.02,1.34,0.70,0.98,0.97
1998,0.99,1.36,1.46,0.64,1.48,0.77,0.56,1.67,1.40,0.91,0.29,0.10
1999,1.25,-0.08,0.59,-1.02,1.12,0.53,0.83,0.93,1.40,0.70,-1.44,-1.01
2000,-0.86,-0.06,-0.07,-0.12,-1.24,-0.77,0.89,0.09,1.75,-0.26,0.33,-0.12
2001,1.25,0.25,-0.73,0.11,-0.43,0.78,0.53,0.05,0.97,-1.04,-0.48,-0.70
2002,-0.12,-0.88,0.32,1.84,1.44,0.34,0.57,0.27,1.14,1.01,1.69,0.93
2003,0.83,0.86,-0.39,0.92,1.06,0.81,1.01,0.60,1.30,-0.47,0.82,1.00
2004,0.50,0.71,0.37,0.99,0.04,0.71,0.48,0.00,-0.21,1.82,0.46,0.59
2005,0.62,0.67,1.18,2.80,1.36,1.11,1.28,0.43,1.27,1.31,1.00,0.97
2006,1.21,0.50,0.70,-0.59,-1.03,-0.97,0.12,1.12,1.31,1.60,1.76,0.33
2007,0.26,1.81,0.67,1.00,1.87,-1.47,0.47,0.99,1.28,1.36,0.81,0.11
2008,1.35,-0.59,0.58,-0.38,0.35,1.04,0.46,-0.85,1.49,1.66,0.09,0.22
2009,0.55,0.50,0.62,0.70,-0.02,0.76,0.94,2.56,1.23,0.43,2.04,0.88
2010,0.81,0.83,0.35,1.55,0.48,0.33,1.08,-0.01,0.10,-0.41,-0.51,-0.53
2011,0.96,-0.18,-0.81,-0.56,-1.39,-0.61,0.72,1.04,0.20,0.57,0.43,-0.37
2012,0.11,-0.29,-0.92,0.16,-0.53,-0.52,-0.28,0.39,1.17,0.90,1.61,1.19
2013,1.93,0.76,0.91,1.28,1.19,0.83,1.60,1.72,2.87,1.58,0.74,0.73
2014,1.06,0.07,0.91,1.22,1.75,0.46,0.42,0.18,1.34,2.07,2.09,1.04
2015,0.13,1.89,1.00,-0.56,-0.14,1.35,0.53,0.70,0.28,3.04,2.07,1.11
2016,0.63,1.16,1.87,2.08,2.00,1.34,1.12,0.51,0.04,-0.39,0.73,0.79
2017,0.90,0.55,1.79,0.17,0.77,0.47,1.90,1.10,1.33,1.57,0.86,1.22
2018,1.37,0.86,1.09,2.44,0.23,0.33,1.35,0.00,0.72,1.95,0.92,2.11
2019,2.86,1.36,2.04,1.33,0.62,0.30,1.61,0.24,1.19,2.19,1.20,3.20
2020,1.41,0.91,0.64,1.66,-0.61,1.07,0.96,1.33,2.55,1.05,2.51,0.13
2021,0.26,-0.24,0.18,0.20,0.49,0.34,1.79,1.36,1.01,0.94,-0.61,1.10
2022,1.11,0.07,1.69,1.62,0.99,0.49,-0.16,0.74,0.71,0.20,-1.14,-0.17
2023,0.01,0.44,1.11,0.03,-1.12,1.11,1.20,2.31,2.45,1.08,1.61,1.61
2024,1.55,1.73,1.11,-0.51,0.99,0.70,0.71,3.04,1.87,2.55,1.83,1.88
2025,2.15,1.66,2.42,0.99,0.82,0.28,0.59,0.54,1.13,2.53,0.60,1.03
2026,1.90,,,,,,,,,,,
