Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1986,0.45,1.03,1.57,0.54,0.42,-1.08,-2.42,-0.84,-0.62,-0.84,0.34,0.50
1987,-0.06,-1.05,0.54,0.55,-0.33,-0.98,0.60,-0.18,0.53,0.27,-0.49,-0.61
1988,0.76,0.98,0.00,-1.21,-1.46,0.53,-0.28,-0.48,0.27,0.98,-0.62,-1.56
1989,0.18,1.06,-1.78,-1.88,-1.40,-1.45,-1.00,0.33,1.12,0.26,-0.59,0.24
1990,-0.01,0.49,0.29,-1.04,-0.81,-1.03,-0.91,-0.52,0.29,0.00,0.83,0.09
1991,-0.86,-0.04,0.99,0.63,0.87,-0.77,0.09,0.61,0.75,1.01,-0.43,0.12
1992,0.59,-0.49,0.29,-1.36,-1.66,-0.43,1.08,-0.98,-1.40,-0.60,-0.28,-0.89
1993,-0.11,-0.76,0.70,0.87,-0.86,-1.27,-0.84,-0.08,-1.15,-0.68,-0.02,-1.18
1994,1.06,-1.11,1.04,1.69,2.36,0.99,1.84,1.46,1.26,0.72,0.08,0.09
1995,-0.74,-0.91,0.14,0.15,-1.05,-0.87,-0.33,0.61,-0.44,-0.32,-0.51,-0.58
1996,0.41,1.33,0.39,0.19,0.97,-0.72,-0.85,-0.84,0.56,-0.41,0.60,-0.51
1997,-0.63,-1.20,0.64,1.61,-1.55,0.13,0.32,0.00,-0.44,-0.12,0.27,-0.31
1998,0.01,1.28,0.81,-0.89,0.07,-0.89,-2.65,-0.76,-1.44,-1.20,-0.92,-0.81
1999,-0.28,-0.61,-0.90,-0.03,1.04,0.43,0.43,0.45,0.34,-0.77,-1.41,-1.51
2000,-0.49,-1.57,-1.71,-2.48,-0.60,0.28,0.87,0.72,1.44,-1.00,-1.13,-1.10
2001,0.16,-0.97,-0.56,1.14,1.45,0.58,0.01,1.40,0.08,-0.78,-0.56,-0.70
2002,0.64,-0.52,1.55,1.39,1.72,1.62,2.82,1.75,0.90,2.05,0.48,0.68
2003,0.39,-0.82,0.55,0.21,0.63,0.49,0.64,-0.49,0.37,0.21,0.14,-0.49
2004,0.04,-0.48,0.30,0.61,-0.33,0.42,0.05,0.66,0.49,0.91,-0.01,0.00
2005,0.79,1.78,1.21,0.91,1.31,-0.87,-0.58,-0.36,-0.53,-0.40,-0.04,0.57
2006,-1.26,-0.10,-0.76,-0.97,1.19,1.24,0.05,2.04,0.61,0.65,1.13,-0.15
2007,-0.60,0.98,-0.77,0.83,0.14,-0.88,0.76,0.83,1.33,0.70,-0.03,-0.97
2008,0.11,-0.93,0.88,1.48,2.47,-0.21,0.72,0.03,0.07,0.41,-1.23,-0.68
2009,-0.33,-0.12,1.30,0.21,0.25,0.11,0.01,1.41,0.58,0.84,0.56,0.16
2010,0.04,-0.41,-0.40,-0.88,-0.09,-0.03,-1.49,-0.96,-2.31,-1.45,-0.95,-1.09
2011,-0.50,-1.71,-2.34,0.13,0.36,0.92,0.01,1.53,1.40,-0.74,-0.49,-0.64
2012,-0.47,0.69,-0.83,0.58,1.86,0.61,0.82,2.41,1.59,1.57,0.71,0.34
2013,1.08,0.71,-0.12,1.05,-0.52,-1.33,0.10,2.00,1.17,1.32,0.36,0.41
2014,0.23,-0.48,0.67,-0.31,-0.06,0.17,1.18,1.20,1.51,1.65,0.65,-0.03
2015,-0.74,1.45,0.70,-0.54,0.52,0.00,0.00,0.19,1.20,1.13,0.31,-0.37
2016,-0.55,1.17,-0.49,0.84,-0.29,-1.87,-1.27,-0.47,-1.82,0.49,0.99,-0.50
2017,-0.87,0.37,0.56,0.46,1.73,1.73,1.58,1.45,1.47,-0.23,-0.07,0.23
2018,0.22,0.13,0.54,1.70,1.45,1.03,1.95,1.45,1.43,0.04,-0.30,0.56
2019,0.85,1.42,0.48,0.28,0.81,0.60,1.27,0.99,2.07,1.49,1.69,1.86
2020,-0.02,-0.49,-0.18,0.06,0.51,1.24,1.14,0.40,0.09,-0.27,0.75,-1.23
2021,-0.43,-0.45,-0.40,1.24,1.09,-0.56,0.35,0.77,0.59,0.24,-1.17,0.55
2022,-0.37,0.62,0.65,-0.27,-1.09,-0.39,0.76,-0.07,-1.38,-1.60,-0.99,-0.30
2023,-0.64,0.69,0.45,-0.14,1.99,0.26,0.08,1.54,1.87,1.66,-0.06,0.61
2024,-0.57,0.56,-1.39,0.12,0.80,0.36,-0.19,1.00,-0.01,0.56,-0.51,0.01
2025,1.45,0.96,-0.20,-0.44,0.51,1.02,0.78,0.38,0.67,0.57,-0.15,0.49
2026,0.81,,,,,,,,,,,
