Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1986,-2.00,-1.15,1.36,-0.11,0.27,-0.40,-0.17,0.07,-0.02,-1.43,-0.64,-1.55
1987,-2.17,-0.63,-2.00,0.68,0.33,0.75,-0.25,0.27,0.96,-0.64,1.15,-0.19
1988,1.72,-1.12,0.78,1.21,1.78,1.02,1.25,0.65,1.18,0.57,-0.18,1.24
1989,-0.39,0.19,1.34,0.92,1.01,-0.51,-0.20,-1.10,0.02,-0.72,1.09,0.67
1990,0.70,-0.85,1.03,0.96,0.31,0.05,1.02,-0.40,0.49,0.59,0.96,1.36
1991,1.02,-0.22,-0.40,-0.51,0.09,2.44,0.55,-0.22,-0.08,1.36,-0.57,-0.53
1992,-2.02,-0.74,1.25,0.46,-0.12,0.07,0.46,-0.88,-1.76,0.33,-1.96,0.38
1993,0.42,-0.26,-0.49,0.93,0.23,0.10,1.14,1.40,0.60,-0.61,-0.73,-0.83
1994,-1.47,0.22,-1.26,0.12,0.39,0.74,0.59,-1.00,-0.97,0.34,-0.16,2.18
1995,1.11,0.24,-1.36,-2.18,-0.07,0.42,-0.45,0.86,-0.45,-0.60,-0.12,-1.80
1996,-0.51,-1.96,-0.39,-1.72,0.29,0.57,0.27,0.47,-0.01,0.40,-1.41,-1.40
1997,0.98,2.96,-1.38,-0.30,0.08,0.32,-0.72,-0.55,-0.12,0.39,1.37,0.64
1998,1.10,-0.35,0.19,-1.09,0.14,-0.15,-0.64,0.72,1.30,-0.61,-0.56,0.92
1999,2.52,0.84,-0.30,-1.58,0.69,0.50,1.17,0.81,1.54,1.16,-1.26,0.10
2000,-0.79,2.75,1.07,0.49,-0.42,0.19,0.49,-0.14,0.66,-0.37,2.41,0.94
2001,3.30,2.40,-0.38,-0.10,0.13,1.32,0.81,0.76,1.97,-0.82,-1.03,-2.02
2002,-0.98,-1.39,-0.05,1.50,0.55,0.79,0.94,0.07,0.83,0.42,1.48,1.04
2003,1.21,0.76,-0.59,0.62,0.61,0.94,0.62,-0.51,-0.61,-1.99,0.84,1.96
2004,-1.66,0.69,-0.35,0.47,-0.59,0.73,-0.03,0.59,0.01,0.96,0.36,0.42
2005,0.40,-2.07,-1.02,2.36,0.42,1.34,1.19,0.67,0.28,0.66,1.19,1.05
2006,2.86,-0.34,1.30,-1.91,-1.07,-0.97,0.65,0.49,1.29,0.89,1.03,0.40
2007,1.66,2.41,0.87,1.39,2.25,-0.69,0.11,1.23,0.56,0.96,2.57,1.68
2008,2.10,-1.18,1.93,-0.67,0.05,1.88,0.11,-0.78,0.79,1.43,0.35,-0.80
2009,1.58,1.12,0.18,-0.23,0.44,0.71,0.95,1.48,0.92,0.15,4.63,1.32
2010,1.39,1.80,0.91,1.38,0.26,0.10,0.08,-0.59,-0.61,0.42,0.89,0.02
2011,1.20,-0.09,-0.58,-0.33,-0.74,0.61,0.66,1.59,0.97,0.97,2.09,0.50
2012,1.53,0.27,-0.72,0.55,-0.30,-0.19,0.59,0.00,0.87,0.17,1.86,1.17
2013,1.37,1.73,1.89,0.76,0.34,0.78,1.40,1.26,2.52,0.20,-0.33,1.11
2014,2.40,1.29,0.78,0.65,1.79,1.31,0.68,-0.13,1.20,1.99,1.58,0.97
2015,0.64,1.79,-0.98,-0.72,0.19,0.00,-0.31,-0.16,0.29,4.14,1.72,3.08
2016,1.56,0.74,2.44,1.65,1.59,0.32,1.20,0.54,0.27,-0.51,-0.08,1.40
2017,1.54,-0.17,2.84,0.56,-0.12,-0.34,0.51,-0.23,0.52,1.34,3.07,1.51
2018,2.77,1.10,0.71,2.22,0.56,0.00,0.79,0.10,-0.15,1.71,0.88,3.11
2019,3.95,0.59,1.25,1.22,0.70,0.59,1.37,-0.45,0.02,1.28,-0.15,2.27
2020,0.95,0.08,-0.09,-0.39,-0.77,-0.01,0.27,-0.04,1.29,1.08,3.14,-0.19
2021,0.60,-0.70,-0.62,-0.15,0.31,1.05,0.69,0.96,0.95,-0.29,-0.28,0.72
2022,2.78,0.13,1.08,1.20,0.23,0.29,-0.02,0.85,0.09,0.36,-1.11,-0.26
2023,1.04,-0.24,-0.02,-0.09,-0.63,1.23,1.24,1.00,2.20,0.17,1.28,1.17
2024,1.02,1.02,1.72,-0.76,0.25,0.02,0.50,2.47,0.98,1.48,2.32,2.00
2025,1.71,1.58,2.56,2.36,0.76,-0.29,0.86,0.33,0.91,0.72,-0.56,0.30
2026,2.62,,,,,,,,,,,
